,tit0,coop,tit0,tit0,tit1,tit1,disap,tit1,def,tit0,tit1,tit0,disap,def,coop,tit0,disap,disap,tit1,tit0,disap,coop,tit1,coop,tit1,tit1,disap,tit0,disap,tit1,tit1,def,coop,tit1,tit0,coop,disap,disap,def,def,disap,tit0,def,def,tit1,coop,coop,def,coop,disap,tit1,tit0,tit0,def,def,tit1,coop,coop,def,disap,tit1,def,disap,disap,coop,tit0,def,def,disap,tit1,disap,coop,tit0,tit0,def,tit0,tit0,coop,coop,def,def,tit0,def,coop,def,coop,disap,coop,coop,def,tit0,disap,tit1,tit1,tit1,disap,tit0,tit1,disap,coop
coop,4.5,7.4,7.199999999999999,7.199999999999999,4.0,10.8,2.8,-1.5,2.8,-0.10000000000000009,6.300000000000001,4.1,1.7000000000000002,2.4000000000000004,8.1,6.800000000000001,1.7999999999999998,-2.5,3.7,3.3,-2.7,7.9,8.0,0,10.0,7.300000000000001,1.0,-1.0,0.10000000000000009,0.7999999999999998,9.1,0.5,8.1,8.2,8.8,5.6,1.5999999999999996,1.0,6.1,5.6,3.0999999999999996,0.20000000000000018,4.3,1.0999999999999996,-0.2999999999999998,7.199999999999999,8.6,1.7000000000000002,8.7,-1.9,0.7999999999999998,10.1,7.199999999999999,2.5999999999999996,3.4000000000000004,4.2,9.5,8.7,1.0999999999999996,1.4000000000000004,1.5999999999999996,3.5999999999999996,3.3,0.8999999999999999,8.7,8.1,-0.10000000000000009,1.2000000000000002,-1.3,-1.1,1.2000000000000002,7.699999999999999,5.800000000000001,6.199999999999999,0.2999999999999998,1.0,9.2,9.0,5.199999999999999,0.8999999999999999,1.2000000000000002,3.3,-2.4,7.199999999999999,-1.2,6.1,4.4,3.0999999999999996,5.4,1.0999999999999996,-1.8,0.2999999999999998,0.20000000000000018,5.800000000000001,10.1,4.3,-0.6000000000000001,7.9,1.2000000000000002,8.7
tit1,4.9,6.800000000000001,8.9,7.300000000000001,3.9000000000000004,5.9,0.20000000000000018,6,2.7,6,7.9,6.300000000000001,-0.10000000000000009,0,6,9.2,2.3,0,6,7.300000000000001,-0.6000000000000001,6,4.3,8.2,0,9.4,-0.7999999999999998,6,0.2999999999999998,6,4.1,4.0,6,7.6,6.4,10.6,2.8,0,0,0,0,6,1.4000000000000004,0,6,8.6,6.699999999999999,1.7999999999999998,6,-1.4,6,5.300000000000001,10.1,0.6000000000000001,0,6,7.6,9.7,0.10000000000000009,0,6,1.2999999999999998,0,0,6,7.6,1.9000000000000004,0,0,6,0.7999999999999998,6,6.9,5.5,2.9000000000000004,6,8.7,7.6,8.9,2.0999999999999996,0,6,1.2000000000000002,6,2.5,6,-0.6000000000000001,6,7.5,4.3,6,2.9000000000000004,6,7.4,6.199999999999999,-0.7999999999999998,6,10.9,1.7000000000000002,6
tit1,5.6,7.4,5.5,6.6,8.2,6.300000000000001,-2.9,0,0,0,6,9.6,0.20000000000000018,0,6,3.0999999999999996,1.7000000000000002,0,0,6,-2.9,6,5.5,7.300000000000001,5.0,0,0.20000000000000018,0,0,0,6,-1.5,6,6.5,5.199999999999999,8.3,-0.2999999999999998,0,0,0,0,0,0,0,0,6,11.8,-2.3,6,1.5,0,6,9.9,0.20000000000000018,0,0,6,7.699999999999999,2.5999999999999996,0,0,0,0,0,6,8.3,4.7,0,0,0,0,6,6.800000000000001,9.2,-0.20000000000000018,0,6,5.699999999999999,7.5,3.0,0,0,0,6,3.0999999999999996,6,-0.20000000000000018,6,3.8,0.6000000000000001,0,0,0,6,7.0,0.3999999999999999,0,6,0.7000000000000002,6
disap,6,6,6,6,6,6,0,0,0,0,0,6,0,0,6,6,0,0,0,0,0,6,6,6,6,6,0,0,0,0,0,0,6,6,6,6,0,0,0,0,0,0,0,0,0,6,6,0,6,0,0,0,6,0,0,0,6,6,0,0,0,0,0,0,6,6,0,0,0,0,0,6,6,6,0,0,0,6,6,0,0,0,0,6,0,6,0,6,6,0,0,0,0,0,6,0,0,0,0,6
tit0,0,6,1.2000000000000002,0,0,0,0,0,0,0,0,0,0,0,6,-1.1,0,0,0,0,0,6,2.3,6,1.0999999999999996,0,0,0,0,0,0,0,6,1.2999999999999998,0,6,2.4000000000000004,0,0,0,0,0,0,0,0,6,5.5,-0.5,6,0.7999999999999998,0,0,0,0,0,0,6,8.5,2.5,0,0,0,0,0,6,0.5,0,0,0,0,0,6,1.0999999999999996,0,0,0,0,6,7.4,0.20000000000000018,0,0,0,6,-0.10000000000000009,6,2.5999999999999996,6,9.9,-0.8999999999999999,0,0,0,0,0,0,0,0,0,6
disap,0,6,6,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,6,6,6,6,0,0,0,0,0,0,0,6,6,0,6,0,0,0,0,0,0,0,0,0,6,6,0,6,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,6,6,0,0,0,0,0,6,6,0,0,0,0,6,6,0,0,0,0,6,0,6,0,6,6,0,0,0,0,0,0,0,0,0,0,6
tit1,0.8999999999999999,6,0.5,0,0,0,0,0,0,0,0,0,0,0,6,1.0,0,0,0,0,0,6,-0.2999999999999998,6,0.7999999999999998,0,0,0,0,0,0,0,6,-1.4,0,6,-1.9,0,0,0,0,0,0,0,0,6,4.6,2.0999999999999996,6,-0.20000000000000018,0,0,0,0,0,0,6,8.5,1.5999999999999996,0,0,0,0,0,6,6.4,0,0,0,0,0,6,3.4000000000000004,0,0,0,0,6,7.1,3.3,0,0,0,6,0.6000000000000001,6,-2.6,6,6.300000000000001,5.1,0,0,0,0,0,0,0,0,0,6
tit1,8.8,10.1,6.4,-1.9,0,0,0,0,0,0,0,0,0,0,6,3.8,3.0,0,0,0,0,6,7.9,5.0,5.199999999999999,2.4000000000000004,0,0,0,6,0,1.5,6,6.699999999999999,-2.4,6,3.7,0,0,0,0,0,0,0,0,6,5.1,1.4000000000000004,6,0.7000000000000002,0,0,0,0,0,0,6,5.4,0.7000000000000002,0,0,0,0,0,6,8.3,1.5,0,0,0,0,6,6.5,3.0999999999999996,0,0,0,6,5.1,3.4000000000000004,0,0,0,6,0.7000000000000002,6,1.2000000000000002,6,8.9,1.7999999999999998,0,0,0,0,0,0,0,0,0,6
def,6,6,6,6,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,6,6,6,6,6,0,0,0,0,6,0,6,6,6,6,0,0,0,0,0,0,0,0,0,6,6,0,6,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,6,6,0,0,0,0,0,6,6,6,0,0,0,6,6,0,0,0,0,6,0,6,0,6,6,0,0,0,0,0,0,0,0,0,0,6
coop,3.7,3.5999999999999996,1.7999999999999998,3.3,4.4,0.10000000000000009,0.6000000000000001,1.2999999999999998,1.5,1.7000000000000002,3.4000000000000004,1.7000000000000002,-0.5,-0.10000000000000009,6.9,0.2999999999999998,1.0,-2.1,-0.3999999999999999,-1.9,-0.7000000000000002,5.1,3.4000000000000004,7.0,0.7999999999999998,-0.7999999999999998,-1.0,-2.3,1.7000000000000002,0.7999999999999998,-2.4,-0.2999999999999998,0,2.2,3.5,7.9,1.5,-1.3,0.6000000000000001,1.7999999999999998,1.9000000000000004,1.5,6.300000000000001,0.20000000000000018,-0.6000000000000001,8.7,4.5,-1.2,7.1,-2.0,1.5,-0.7999999999999998,2.2,1.7000000000000002,2.3,1.0999999999999996,6.300000000000001,7.199999999999999,0.6000000000000001,5.199999999999999,2.0,0.20000000000000018,0.2999999999999998,1.4000000000000004,8.8,4.5,1.4000000000000004,-0.7999999999999998,3.3,0.2999999999999998,2.0,6.9,-0.2999999999999998,0.7000000000000002,0.20000000000000018,0.7999999999999998,-0.6000000000000001,6.0,8.0,-0.10000000000000009,0.20000000000000018,1.2000000000000002,3.7,6.800000000000001,-0.20000000000000018,6.199999999999999,1.0,7.9,10.1,3.7,-0.2999999999999998,3.2,4.7,1.0,-0.7999999999999998,-2.8,1.2999999999999998,0.3999999999999999,1.2000000000000002,5.9
